VideoNum,Reviewer,DP,BD,E,FS,A,RC,sumScore
11,Gahan,2,2,3,1,3,3,14
11,Gahan,3,3,2,2,2,2,14
11,Garbens,4,3,3,3,4,3,20
11,Garbens,4,3,3,3,4,3,20
11,Johnson,1,1,1,1,1,1,6
11,Woldu,3,2,2,2,4,3,16
11,Woldu,3,2,2,2,4,3,16
16,Gahan,2,1,1,1,1,2,8
16,Garbens,2,2,1,2,3,2,12
16,Johnson,1,1,1,1,1,1,6
16,Woldu,1,1,1,1,1,1,6
49,Gahan,3,3,3,2,3,3,17
49,Garbens,3,3,2,2,4,2,16
49,Johnson,3,2,1,3,2,2,13
49,Johnson,1,2,2,1,1,1,8
49,Steinberg,4,3,3,4,3,4,21
49,Woldu,3,4,2,2,3,3,17
59,Gahan,3,2,2,2,2,2,13
59,Garbens,3,2,2,1,2,2,12
59,Johnson,2,1,1,2,1,1,8
59,Johnson,2,1,1,2,1,1,8
59,Johnson,3,2,2,1,2,2,12
59,Steinberg,5,5,4,5,5,5,29
59,Woldu,2,2,2,2,2,2,12
74,Gahan,1,1,1,1,1,1,6
74,Garbens,2,2,2,1,2,2,11
74,Johnson,2,3,2,1,2,2,12
74,Johnson,1,1,1,1,1,1,6
74,Steinberg,1,1,1,1,1,1,6
74,Woldu,1,1,1,1,1,1,6
78,Gahan,2,3,2,2,3,2,14
78,Garbens,3,1,2,1,2,2,11
78,Woldu,3,3,2,2,2,2,14
91,Gahan,4,4,4,5,5,5,27
91,Garbens,5,4,4,5,5,4,27
91,Woldu,4,4,4,4,4,5,25
113,Gahan,2,2,2,1,2,1,10
113,Garbens,4,3,4,3,4,3,21
113,Woldu,3,4,3,4,4,4,22
130,Gahan,3,3,2,2,3,3,16
130,Garbens,4,4,3,3,4,4,22
130,Woldu,3,3,3,3,3,3,18
143,Gahan,4,3,3,2,3,3,18
143,Garbens,4,4,3,2,4,2,19
143,Johnson,3,3,2,4,3,4,19
143,Steinberg,5,5,4,4,5,4,27
143,Steinberg,5,5,4,4,5,4,27
143,Woldu,2,2,2,2,2,2,12
152,Gahan,4,5,4,4,5,4,26
152,Garbens,5,5,5,4,5,5,29
164,Gahan,4,5,5,5,4,5,28
164,Garbens,5,5,5,5,5,5,30
164,Johnson,4,4,4,5,4,4,25
164,Steinberg,5,5,5,5,5,5,30
171,Gahan,5,5,5,4,5,5,29
171,Garbens,5,3,5,3,5,4,25
171,Johnson,4,4,3,4,5,4,24
171,Steinberg,5,4,4,4,5,4,26
176,Gahan,2,1,1,1,1,1,7
176,Garbens,4,1,1,2,3,2,13
192,Gahan,4,4,3,4,4,4,23
192,Garbens,4,3,3,3,3,3,19
194,Gahan,4,4,4,3,4,3,22
194,Garbens,5,5,4,4,5,5,28
207,Gahan,4,4,3,3,4,3,21
207,Garbens,4,2,3,4,4,3,20
222,Gahan,2,3,3,2,3,2,15
222,Garbens,5,4,4,3,5,4,25
222,Johnson,2,2,2,3,4,2,15
222,Steinberg,3,3,3,3,3,4,19
225,Gahan,1,1,1,1,1,2,7
225,Garbens,4,3,2,3,4,2,18
225,Johnson,1,1,1,2,2,1,8
225,Steinberg,3,2,2,2,2,2,13
226,Gahan,4,4,4,4,4,4,24
226,Garbens,5,5,5,4,5,5,29
226,Johnson,3,3,2,3,4,4,19
226,Steinberg,3,3,3,4,3,3,19
236,Gahan,1,1,1,1,1,1,6
236,Garbens,4,3,3,4,4,3,21
237,Gahan,2,1,2,2,2,1,10
237,Garbens,4,2,4,3,3,3,19
240,Gahan,2,1,1,1,1,1,7
240,Gahan,2,2,2,2,2,2,12
240,Garbens,4,3,2,3,3,3,18
240,Johnson,2,1,1,4,3,2,13
240,Steinberg,3,2,1,2,1,1,10
253,Gahan,2,1,1,1,1,1,7
253,Gahan,1,1,1,1,1,1,6
253,Garbens,3,1,2,1,2,1,10
253,Johnson,1,1,1,1,2,1,7
253,Steinberg,1,1,1,1,1,1,6
257,Gahan,5,5,5,4,5,5,29
257,Gahan,4,4,4,4,4,4,24
257,Garbens,5,5,4,5,5,5,29
258,Gahan,3,4,3,4,4,3,21
258,Garbens,5,4,4,5,5,5,28
267,Garbens,3,3,3,2,3,3,17
276,Garbens,3,3,2,3,3,3,17
277,Garbens,4,2,3,3,4,3,19
283,Garbens,4,3,2,3,4,3,19
294,Garbens,4,4,3,4,5,4,24
296,Garbens,5,4,5,4,5,5,28
301,Garbens,4,4,3,3,4,3,21
302,Gahan,2,2,2,3,3,2,14
302,Garbens,4,3,3,2,4,2,18
302,Johnson,3,3,2,2,3,1,14
302,Steinberg,3,2,3,2,2,2,14
333,Garbens,4,3,3,4,3,3,20
344,Gahan,4,4,4,5,5,5,27
344,Garbens,4,3,4,4,4,3,22
344,Johnson,5,4,4,4,5,4,26
344,Steinberg,4,4,3,3,4,3,21
345,Gahan,4,4,4,5,5,4,26
345,Garbens,5,5,4,4,5,4,27
345,Johnson,3,4,3,3,4,3,20
345,Johnson,4,5,5,4,5,4,27
345,Steinberg,4,4,3,5,5,4,25
358,Garbens,2,2,1,2,2,2,11
361,Gahan,2,3,2,3,2,3,15
361,Garbens,4,3,3,3,4,3,20
361,Johnson,1,1,2,1,1,2,8
361,Steinberg,3,3,3,3,3,3,18
368,Garbens,4,4,3,2,5,3,21
378,Garbens,5,5,5,4,5,5,29
384,Gahan,4,3,4,4,4,4,23
384,Garbens,5,4,5,4,5,5,28
384,Johnson,3,2,2,3,3,2,15
384,Steinberg,5,5,5,5,5,5,30
401,Garbens,5,5,5,4,5,5,29
414,Gahan,1,2,1,2,2,2,10
414,Garbens,3,3,3,3,3,2,17
414,Johnson,3,2,2,3,3,2,15
414,Steinberg,4,3,3,4,3,4,21
417,Gahan,3,3,2,3,4,3,18
417,Garbens,4,4,4,5,5,5,27
417,Johnson,4,4,4,5,5,4,26
417,Steinberg,5,5,4,5,5,5,29
417,Steinberg,5,5,4,5,5,5,29
425,Gahan,1,1,2,1,2,1,8
425,Garbens,2,1,2,1,3,2,11
425,Garbens,4,2,3,3,4,3,19
425,Johnson,1,1,1,1,1,1,6
425,Steinberg,2,1,1,2,1,2,9
427,Garbens,3,2,2,1,2,1,11
436,Garbens,3,3,3,2,3,3,17
440,Gahan,2,1,1,1,1,1,7
440,Garbens,2,2,1,1,1,1,8
440,Johnson,2,2,2,1,1,1,9
440,Steinberg,1,1,1,1,1,1,6
441,Gahan,2,2,1,1,2,1,9
441,Garbens,3,4,3,2,4,3,19
441,Johnson,3,2,2,4,4,4,19
441,Steinberg,4,3,4,5,5,4,25
455,Garbens,4,3,3,4,4,3,21
457,Garbens,4,3,3,3,4,3,20
460,Garbens,3,4,3,1,4,4,19
471,Garbens,2,3,1,1,3,1,11
486,Garbens,5,5,5,5,5,5,30
486,Garbens,5,5,5,5,5,5,30
