epoch,A_loss,BD_loss,DP_loss,E_loss,FS_loss,RC_loss,loss,lr,val_A_loss,val_BD_loss,val_DP_loss,val_E_loss,val_FS_loss,val_RC_loss,val_loss
0,0.40707535843054454,0.3607714831829071,0.47311132252216337,0.36008881231149037,0.341102530558904,0.35646448930104574,2.3443284193674723,0.001,0.3039096268740567,0.39102587645704096,0.40444833311167633,0.34986420653083106,0.2815506539561532,0.37955319610509003,2.156122077595104
1,0.29643523742755257,0.28045364916324617,0.4091222365697225,0.32378331820170086,0.26248978128035866,0.32344296872615813,1.9415055155754088,0.001,0.2709460813890804,0.3566636795347387,0.4184193584051999,0.34828878261826257,0.28662833842364227,0.35478513078256085,2.0815196470780806
2,0.24680030594269434,0.2351073001821836,0.3797352115313212,0.26967287907997767,0.2157944733897845,0.275640765329202,1.6685345013936361,0.001,0.18623610653660513,0.29497046768665314,0.38723011721264233,0.3078917996449904,0.2152878845279867,0.2984968830238689,1.73588426546617
3,0.2093448186914126,0.2106884961326917,0.32174099087715147,0.2358311101794243,0.20131909598906836,0.24686559091011684,1.4715585827827453,0.001,0.14295751330527393,0.2242075570605018,0.4345127831805836,0.26762285286729987,0.18798587945374576,0.21201645921577106,1.5150768106633967
4,0.167569034298261,0.19217502747972806,0.2663798093795776,0.2127203901608785,0.16819783945878347,0.2092519884308179,1.262077949444453,0.001,0.13220028579235077,0.172486503015865,0.3074584928425876,0.19791329990733753,0.1296484267169779,0.1358649662949822,1.1213619329712607
5,0.14000600030024846,0.16800191352764765,0.2103846659262975,0.17294706578056018,0.14234195724129678,0.18097092658281327,1.0604335248470307,0.001,0.129232181744142,0.10506616532802582,0.15007531710646368,0.142364886674014,0.0797845297916369,0.08994614807042209,0.7422389767386697
6,0.1282366469502449,0.1477455787360668,0.18188482622305552,0.16110470071434974,0.12796345228950182,0.16904661804437637,0.9617404441038767,0.001,0.11910615048625252,0.08533823490142822,0.1194845898584886,0.11964212899858301,0.07054404778914018,0.0701658810404214,0.6300208568572998
7,0.1152290754020214,0.12960334544380506,0.14926201601823172,0.14756148879726727,0.11588380448520183,0.1395156651735306,0.8427727262179057,0.001,0.10014260018413718,0.0836458680304614,0.08992232517762618,0.1205090582370758,0.065350087528879,0.07422874529253352,0.5794939832253889
8,0.10109021017948787,0.11777356639504433,0.13868205125133196,0.12532304748892784,0.10884933943549792,0.12261015623807907,0.7599976321061452,0.001,0.09537059475075114,0.08348909562284296,0.08692893792282451,0.10765165835618973,0.06896967169913379,0.07314844463359226,0.5612005320462313
9,0.09323033814628919,0.10106885234514872,0.12203031356136004,0.121036596596241,0.09860539486010869,0.11085023184617361,0.6924396395683289,0.001,0.09427097304300829,0.09037313813512976,0.09577556225386533,0.11684161898764697,0.07139418782158331,0.0795229822397232,0.5937720157883384
10,0.08740530336896578,0.0928113229572773,0.10795390754938125,0.107014200091362,0.09525968978802363,0.10871678118904432,0.6447167336940766,0.001,0.08517119898037477,0.0891778672283346,0.08964178575710817,0.11804621328007091,0.07546976818279787,0.0780679935758764,0.5810919187285684
11,0.07880065217614174,0.08338280245661736,0.09553754851222038,0.11354690218965212,0.07891614387432734,0.09828139767050743,0.5939417650302251,0.001,0.08288325708020818,0.08022792569615624,0.08168265900828621,0.10652820901437239,0.0585481771691279,0.07439449429512024,0.5296962667595256
12,0.08039276848236719,0.0857118306060632,0.09283150099217892,0.09378825450936953,0.08672898275156816,0.091926471889019,0.5767695277929306,0.001,0.09309639849446037,0.08839662914926355,0.0956944383003495,0.11523202468048442,0.07798386128111319,0.07858214188705791,0.5943406928669323
13,0.07084208391606808,0.07586096537609895,0.08488584272563457,0.08432705439627171,0.07715291219453017,0.07923321761190891,0.5176116208235423,0.001,0.0853257802399722,0.07742809436538002,0.08203404667702588,0.10274479335004633,0.058707591484893455,0.0708885057405992,0.5223798047412526
14,0.06673187141617139,0.08754960497220357,0.07703092060983181,0.08082646888991198,0.07990654744207859,0.08970778907338778,0.5269490321477254,0.001,0.07874961603771556,0.07770098068497398,0.08087550103664398,0.10443490472706882,0.061447494409301064,0.06685574928467924,0.5152035816149279
15,0.0679835133254528,0.07886575696369012,0.08036372251808643,0.0784621166686217,0.07586939856410027,0.0814050870637099,0.5080458621184031,0.001,0.08713155646215785,0.10631411658091978,0.10173522477800195,0.11964651129462502,0.06921845776113597,0.08534777503121983,0.6144378781318665
16,0.07022106784085433,0.06840384329358737,0.07398526209096114,0.0755648442854484,0.06911414998273055,0.07671136558055877,0.47898667653401694,0.001,0.08430464362556284,0.08248704197731885,0.07951359247619455,0.09756664322181181,0.05834687399593266,0.06892572038552978,0.5160608833486383
17,0.06269362469514211,0.0657597736765941,0.07186139350136121,0.06878398284316063,0.068006140862902,0.07265462291737397,0.4546043147643407,0.001,0.08523538911884482,0.07098059356212616,0.07846266234462912,0.09596295180645856,0.056828568266196686,0.06785326925191013,0.500090859153054
18,0.05873114044467608,0.060108514750997225,0.06735527204970519,0.06415485429267088,0.062190694237748784,0.06892274270455043,0.42615792751312254,0.001,0.09072574092583223,0.07640624114058235,0.07913148606365378,0.09720514782450417,0.05956520885229111,0.0681990310549736,0.5158526951616461
19,0.05792881660163403,0.058653359611829124,0.06567145399749279,0.06568517511089643,0.06041726681093375,0.06838298464814822,0.42128326594829557,0.001,0.08546674793416803,0.07458828050981868,0.0803322507576509,0.10045671530745247,0.057236878709359604,0.07073479586026886,0.5132742442867972
0,0.9700303086463142,0.6637731904492659,0.44164469662834616,1.2601570785045624,0.33932216202511506,0.40583191110807304,4.127316180397482,0.001,0.5934391692280769,0.351477924734354,0.48105356097221375,0.3063525874167681,0.3980703093111515,0.45306580513715744,2.630066365003586
1,0.504830473486115,0.368780857499908,0.3565647628377466,0.5602984884205986,0.28833403438329697,0.3098751021658673,2.43529605514863,0.001,0.516783133149147,0.3442804887890816,0.4393046461045742,0.23469813540577888,0.37427664920687675,0.43340082839131355,2.389345645904541
2,0.3827715069055557,0.2798632019582917,0.3236496181172483,0.33759042795966654,0.24079042673110962,0.2502340266809744,1.86146577316172,0.001,0.4902217611670494,0.340051107108593,0.4354359693825245,0.19403192028403282,0.3434557802975178,0.40494631230831146,2.2546683102846146
3,0.32091032143901377,0.22221423992339304,0.2853187134160715,0.2659667585702503,0.19375154463683858,0.22106612429899328,1.5557060346883886,0.001,0.4616687409579754,0.29071443155407906,0.3199639581143856,0.2167865801602602,0.2728375382721424,0.38080456107854843,1.9892174005508423
4,0.2769017131889568,0.21083591440144708,0.22965861813110464,0.21941823380834916,0.1722416978548555,0.20249143900240169,1.3579606904703028,0.001,0.4373448081314564,0.2846069149672985,0.25952295400202274,0.19946344755589962,0.2779671121388674,0.35635675862431526,1.8616337031126022
5,0.2556835224523264,0.19380232647937887,0.21965019010445652,0.20914163221331203,0.15457186168607542,0.18086086520377329,1.260046478580026,0.001,0.37117986753582954,0.2201535440981388,0.21202947571873665,0.19682792015373707,0.2275819629430771,0.3050856478512287,1.5791573077440262
6,0.2217384629389819,0.1773962836493464,0.17815160751342773,0.19623336502734354,0.12917056044234948,0.16189277413136818,1.1108489159275503,0.001,0.3266261760145426,0.18226427771151066,0.16180157475173473,0.1541512906551361,0.1571509912610054,0.24892709776759148,1.2771514058113098
7,0.21693865735741222,0.16390332908314817,0.15646010659196796,0.18442538950373144,0.1105043243835954,0.14686493487919078,1.0252982816275429,0.001,0.2721090689301491,0.1408484810963273,0.13351835776120424,0.15736736170947552,0.12856448534876108,0.20217598974704742,1.080745667219162
8,0.21012157946825027,0.15793486224377856,0.13886394570855534,0.17798078060150146,0.10181680299779948,0.14132373078781016,0.974172138115939,0.001,0.21993169747292995,0.10586035344749689,0.09996240306645632,0.12590841855853796,0.11106268037110567,0.16904891841113567,0.8778748735785484
9,0.1881178551737,0.14207313735695445,0.13173813876860282,0.16142884400837562,0.09685821020427872,0.13549342313233545,0.9017809997586643,0.001,0.12793123442679644,0.06636094721034169,0.061348977498710155,0.11333281360566616,0.08106887899339199,0.14817525912076235,0.6442577540874481
10,0.16852211689247804,0.12460142658913836,0.10807660200140055,0.14670444542870803,0.08679645355133449,0.1104644696940394,0.7911669717115515,0.001,0.11719071585685015,0.059679549653083086,0.0520904241129756,0.08758850581943989,0.08422811795026064,0.12496043462306261,0.5717021003365517
11,0.16224913167602875,0.13019776059424176,0.11256884608198614,0.13865269282284906,0.0912252224105246,0.10957123284392498,0.7903948934639201,0.001,0.08600909821689129,0.042232075706124306,0.053390123415738344,0.09654817543923855,0.0695015867240727,0.09647404681891203,0.4900492988526821
12,0.15608647794407957,0.1214237861773547,0.10068218256620799,0.13615127587143114,0.08347106779761174,0.10803463704445783,0.7517058498719159,0.001,0.10035243630409241,0.05446383263915777,0.04349678289145231,0.0865959944203496,0.07233811169862747,0.1061912551522255,0.5092548169195652
13,0.15360543942626784,0.11121292346540619,0.09631423257729586,0.12914320826530457,0.07903787581359639,0.09785777374225504,0.712949218118892,0.001,0.0756404884159565,0.03933166014030576,0.03889794461429119,0.07894203718751669,0.06707231653854251,0.09624852519482374,0.4418681710958481
14,0.1490219160914421,0.10368909862111597,0.09048389709171127,0.12595311355064898,0.07478260972044047,0.09433656339259709,0.6839630025274613,0.001,0.06851478572934866,0.035228280583396554,0.045151518657803535,0.07494600024074316,0.06418672669678926,0.08543131034821272,0.41910848021507263
15,0.14113712770973935,0.10113908142289695,0.08763301306787659,0.11568760828060262,0.07141118025516763,0.0897417907767436,0.6523600816726685,0.001,0.06253776140511036,0.03737419797107577,0.03713733796030283,0.06597524182870984,0.06386956200003624,0.08645064663141966,0.39891069009900093
16,0.12858891618602417,0.09805352328454747,0.08010049427256864,0.11332911209148519,0.06678061417358763,0.08856535790597692,0.6209439530092127,0.001,0.06195616768673062,0.03426709398627281,0.040932537289336324,0.0738968038931489,0.06252013938501477,0.08125934936106205,0.4003114849328995
17,0.11973008842152708,0.1029659384752021,0.07716051795903374,0.1050003422972034,0.06885890366838258,0.08634134403922979,0.6054844794904485,0.001,0.05638685170561075,0.03596882475540042,0.041799352038651705,0.07101474702358246,0.06453116796910763,0.08294779900461435,0.3980223909020424
18,0.11607331256656085,0.09586265989962746,0.07285982479943949,0.10357149274033658,0.06705714028109522,0.07994727921836517,0.5806917995214462,0.001,0.05850267270579934,0.03322646301239729,0.042410206515342,0.06688442081212997,0.06647440092638135,0.08390682190656662,0.39666830003261566
19,0.11180772588533514,0.0834816272425301,0.07150115215164773,0.10108869106454008,0.06272143300841837,0.07974791702102213,0.5555554593310637,0.001,0.07207214972004294,0.040864367969334126,0.048368786461651325,0.0698930504731834,0.06846256647258997,0.08635122794657946,0.4311605431139469
0,0.8709306410130333,0.4223855251775068,0.3811282366514206,0.5729678010239321,0.31340349816224156,0.3241777963498059,2.9318323415868424,0.001,0.3512425050139427,0.4005984142422676,0.5974555686116219,0.365646306425333,0.39278412982821465,0.33857419714331627,2.4931978285312653
1,0.4155298296143027,0.3567172201240764,0.32094333715298595,0.3785582868491902,0.27797260792816386,0.28954026585116105,2.0861766443533054,0.001,0.2871567476540804,0.360060915350914,0.4894624464213848,0.3528472073376179,0.31723344698548317,0.23461572639644146,2.0883015990257263
2,0.3186029480660663,0.3165633301524555,0.26609594550202875,0.328263042604222,0.24368767571799896,0.2529064311700709,1.7730434501872343,0.001,0.3279370665550232,0.3526855446398258,0.36764388158917427,0.3773162476718426,0.2658434025943279,0.2091053519397974,1.9474577009677887
3,0.28874295511666465,0.28868695523808985,0.2286842141081305,0.30209297993603873,0.21027514031704733,0.22436149155392365,1.5897643916747148,0.001,0.34923985227942467,0.32747356593608856,0.30553015880286694,0.3980797678232193,0.2256007231771946,0.1890907809138298,1.8419217765331268
4,0.2511461271959193,0.25107331530136223,0.20047657673849778,0.27413936003166084,0.1850693966535961,0.1944136882529539,1.4032085888526018,0.001,0.20742830634117126,0.2477912101894617,0.2509032394737005,0.40494561195373535,0.1947785709053278,0.14290644228458405,1.4956288635730743
